ip,ds,y
46.39.79.251,2022-01-03 09:00:00,2
46.39.79.251,2022-01-03 10:00:00,2
46.39.79.251,2022-01-03 11:00:00,2
46.39.79.251,2022-01-03 12:00:00,3
46.39.79.251,2022-01-03 13:00:00,3
46.39.79.251,2022-01-03 14:00:00,2
46.39.79.251,2022-01-03 15:00:00,2
46.39.79.251,2022-01-03 16:00:00,2
46.39.79.251,2022-01-03 17:00:00,2
46.39.79.251,2022-01-03 18:00:00,3
46.39.79.251,2022-01-04 08:00:00,2
46.39.79.251,2022-01-04 09:00:00,2
46.39.79.251,2022-01-04 10:00:00,3
46.39.79.251,2022-01-04 11:00:00,2
46.39.79.251,2022-01-04 12:00:00,3
46.39.79.251,2022-01-04 13:00:00,2
46.39.79.251,2022-01-04 14:00:00,2
46.39.79.251,2022-01-04 15:00:00,3
46.39.79.251,2022-01-04 16:00:00,2
46.39.79.251,2022-01-04 17:00:00,2
46.39.79.251,2022-01-04 18:00:00,3
46.39.79.251,2022-01-05 08:00:00,2
46.39.79.251,2022-01-05 09:00:00,2
46.39.79.251,2022-01-05 10:00:00,2
46.39.79.251,2022-01-05 11:00:00,3
46.39.79.251,2022-01-05 12:00:00,3
46.39.79.251,2022-01-05 13:00:00,2
46.39.79.251,2022-01-05 14:00:00,2
46.39.79.251,2022-01-05 15:00:00,2
46.39.79.251,2022-01-05 16:00:00,2
46.39.79.251,2022-01-05 17:00:00,4
46.39.79.251,2022-01-05 18:00:00,3
46.39.79.251,2022-01-06 08:00:00,2
46.39.79.251,2022-01-06 09:00:00,3
46.39.79.251,2022-01-06 10:00:00,2
46.39.79.251,2022-01-06 11:00:00,2
46.39.79.251,2022-01-06 12:00:00,4
46.39.79.251,2022-01-06 13:00:00,2
46.39.79.251,2022-01-06 14:00:00,2
46.39.79.251,2022-01-06 16:00:00,2
46.39.79.251,2022-01-06 17:00:00,2
46.39.79.251,2022-01-06 18:00:00,3
46.39.79.251,2022-01-07 08:00:00,3
46.39.79.251,2022-01-07 09:00:00,3
46.39.79.251,2022-01-07 10:00:00,7
46.39.79.251,2022-01-07 11:00:00,2
46.39.79.251,2022-01-07 12:00:00,3
46.39.79.251,2022-01-07 13:00:00,2
