src_ip,unq_dst_ip,allow,drop,frequency,pkts_sent,pkts_received,bytesin,bytesout,unq_dst_port,timestamp
46.39.79.251,3,17,1,18,161,121,23066,79466,2,2022-01-03 08:00:00
229.46.205.74,72,324,143,467,36901,100347,3462029,127704083,5,2022-01-03 08:00:00
187.44.158.33,3,26,12,38,126,71,11871,6548,2,2022-01-03 08:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-03 09:00:00
187.44.158.33,3,26,10,36,116,62,10334,5780,2,2022-01-03 09:00:00
229.46.205.74,84,346,145,491,35721,77644,4578775,93182088,4,2022-01-03 09:00:00
46.39.79.251,2,16,0,16,145,116,18769,68743,2,2022-01-03 10:00:00
229.46.205.74,35,153,57,210,1250,1246,260250,643142,4,2022-01-03 10:00:00
187.44.158.33,5,30,11,41,126,75,11832,17171,4,2022-01-03 10:00:00
187.44.158.33,3,26,9,35,99,55,8784,5130,2,2022-01-03 11:00:00
46.39.79.251,2,4,0,4,22,16,2767,7264,2,2022-01-03 11:00:00
229.46.205.74,29,94,36,130,657,684,127588,374551,4,2022-01-03 11:00:00
46.39.79.251,3,7,2,9,57,43,8445,18035,2,2022-01-03 12:00:00
229.46.205.74,192,876,350,1226,111226,220227,9782278,278674596,4,2022-01-03 12:00:00
187.44.158.33,11,49,22,71,305,199,43576,79218,3,2022-01-03 12:00:00
46.39.79.251,3,5,1,6,43,27,6658,13064,2,2022-01-03 13:00:00
229.46.205.74,20,81,23,104,469,406,107051,132205,4,2022-01-03 13:00:00
187.44.158.33,5,30,12,42,139,84,13098,15710,3,2022-01-03 13:00:00
229.46.205.74,29,97,34,131,566,441,111176,152306,3,2022-01-03 14:00:00
187.44.158.33,3,26,11,37,104,68,9319,6340,2,2022-01-03 14:00:00
46.39.79.251,2,16,0,16,141,104,18527,69324,2,2022-01-03 14:00:00
187.44.158.33,3,25,7,32,99,40,9164,3658,2,2022-01-03 15:00:00
46.39.79.251,2,5,0,5,22,14,2779,7144,2,2022-01-03 15:00:00
229.46.205.74,27,72,25,97,61207,145223,4914443,187462621,4,2022-01-03 15:00:00
187.44.158.33,4,28,11,39,119,75,11392,11724,3,2022-01-03 16:00:00
229.46.205.74,58,398,148,546,106659,250327,9863135,320277435,4,2022-01-03 16:00:00
46.39.79.251,2,3,0,3,24,19,2891,7470,2,2022-01-03 16:00:00
46.39.79.251,2,3,0,3,21,15,2677,7174,2,2022-01-03 17:00:00
